feature,importance
Haemophilus_pittmaniae,5.568168908607282
Bacteroides_coprophilus,4.798396282756706
Treponema_succinifaciens,4.7806530736248565
Sutterella_stercoricanis,4.057111776868708
Prevotella_sp.,3.0946587603005247
Pseudomonas_lini,2.7800910171895707
Ruminococcus_gauvreauii,2.7383880214972254
Roseburia_faecis,2.7020898850768797
Megasphaera_sp.,2.664018559639682
Eubacterium_siraeum,2.475088975676661
Butyrivibrio_crossotus,2.3796664491735795
Sutterella_sp.,2.3111356342740716
Ruminococcus_callidus,2.29010489474308
Bacteroides_uniformis,2.20197905588777
Anaerobiospirillum_succiniciproducens,2.1983002628208705
Bacteroides_caccae,2.101055301139042
Acidiphilium_sp.,2.081422859111385
Prevotella_stercorea,1.9693512486582718
Eubacterium_biforme,1.967025620965022
Bacteroides_dorei,1.964999343777764
