feature,importance
Treponema_sp. + Treponema_succinifaciens,0.22492259537805395
Pseudomonas_hibiscicola + Pseudomonas_lini,0.2163007672965854
Bacteroides_plebeius + Bacteroides_salyersiae,0.14618844934783218
Prevotella_sp. + Prevotella_stercorea,0.14459909644035926
Megasphaera_sp. + Megasphaera_sueciensis,0.1274815629004471
Mitsuokella_jalaludinii + Mitsuokella_multacida,0.12187519761912176
Roseburia_cecicola + Roseburia_faecis,0.10215293712671722
Sutterella_stercoricanis + Sutterella_wadsworthensis,0.09721500633623208
Roseburia_faecis + Roseburia_hominis,0.09096387089851361
Bacteroides_coprophilus + Bacteroides_dorei,0.08875675240599132
Dialister_propionicifaciens + Dialister_succinatiphilus,0.08507979914110216
Prevotella_ruminicola + Prevotella_sp.,0.08071317275196462
Megasphaera_cerevisiae + Megasphaera_elsdenii,0.07303594483211107
Sutterella_sp. + Sutterella_stercoricanis,0.07297753159719969
Acidaminococcus_intestini + Acidiferrobacter_thiooxydans,0.06276931689138374
Mangrovibacter_plantisponsor + Mannheimia_granulomatis,0.06246723358684386
Eubacterium_hadrum + Eubacterium_hallii,0.061663771998600646
Mitsuokella_multacida + Mitsuokella_sp.,0.06073455775823291
Enterobacter_aerogenes + Enterobacter_cancerogenus,0.05897373016027758
Eubacterium_saphenum + Eubacterium_siraeum,0.05816375921627389
Bacteroides_oleiciplenus + Bacteroides_ovatus,0.05584403840250156
Anaerobaculum_mobile + Anaerobiospirillum_succiniciproducens,0.05424376923000115
Lactobacillus_reuteri + Lactobacillus_rogosae,0.052387231791941144
Bacteroides_dorei + Bacteroides_eggerthii,0.05105265676580405
Ruminococcus_torques + Rummeliibacillus_pycnus,0.05087618766721003
Megasphaera_micronuciformis + Megasphaera_sp.,0.04794432057748162
Bacteroides_fragilis + Bacteroides_intestinalis,0.04614297707530756
Clostridium_sp. + Clostridium_spiroforme,0.04507892846931966
Parabacteroides_johnsonii + Parabacteroides_merdae,0.04497639228158958
Bacteroides_pectinophilus + Bacteroides_plebeius,0.044962888014379705
Coprococcus_catus + Coprococcus_comes,0.044059176965905604
Eubacterium_hallii + Eubacterium_pyruvativorans,0.041129465429786835
Petrobacter_succinatimandens + Phascolarctobacterium_faecium,0.040380249004010146
Oscillibacter_sp. + Oscillibacter_valericigenes,0.04009025758017134
Serratia_rubidaea + Serratia_ureilytica,0.03959722139387566
Blautia_obeum + Blautia_producta,0.039437367730359635
Haemophilus_pittmaniae + Haemophilus_sputorum,0.03904340730820935
Lachnoclostridium_aminovalericum + Lachnoclostridium_clostridioforme,0.03850633093176379
Eubacterium_biforme + Eubacterium_brachy,0.03757648852774548
Desulfotignum_toluenicum + Desulfovibrio_D168,0.03748271037800934
Lactobacillus_ruminis + Lactobacillus_sakei,0.03724872869563492
Bacteroides_salyersiae + Bacteroides_sp.,0.03714067690303245
Lactobacillus_ceti + Lactobacillus_delbrueckii,0.03689321349263865
Bifidobacterium_animalis + Bifidobacterium_bifidum,0.03610935593691121
Parasutterella_excrementihominis + Parasutterella_secunda,0.03585187216235108
Pseudomonas_lini + Pseudomonas_litoralis,0.03505340897236733
Prevotella_stercorea + Prevotella_timonensis,0.03467270853960277
Actinomyces_naeslundii + Actinomyces_odontolyticus,0.0342161455730135
Bacteroides_finegoldii + Bacteroides_fragilis,0.034077045742410425
Fusobacterium_mortiferum + Fusobacterium_necrogenes,0.03375593261707957
Enterobacter_cancerogenus + Enterobacter_cloacae,0.03328361063093285
Serratia_quinivorans + Serratia_rubidaea,0.03306139949977706
Coprococcus_comes + Coprococcus_eutactus,0.033007270466138924
Bacteroides_barnesiae + Bacteroides_caccae,0.032355136968370626
Acidiferrobacter_thiooxydans + Acidiphilium_sp.,0.03203784474393475
Anoxybacillus_kaynarcensis + Anoxybacillus_sp.,0.0317633827571099
Ruminococcus_gnavus + Ruminococcus_lactaris,0.0315307683069732
Butyricimonas_sp. + Butyricimonas_synergistica,0.030927229185169137
Parasutterella_secunda + Parvimonas_micra,0.03091639917026802
Ruminiclostridium_siraeum + Ruminococcus_bromii,0.030625272052760395
Bacteroides_stercoris + Bacteroides_thetaiotaomicron,0.03061676551788412
Prevotella_buccalis + Prevotella_copri,0.03058111149693766
Veillonella_parvula + Veillonella_ratti,0.03032565112808331
_chitosanitabida + Mitsuokella_jalaludinii,0.02996136509902712
Collimonas_sp. + Collinsella_aerofaciens,0.02971998435446809
Acidiphilium_sp. + Acidipila_rosea,0.029561695349003686
Clostridium_lavalense + Clostridium_leptum,0.02901331095452111
Salmonella_subterranea + Sarcina_ventriculi,0.028695210474986958
Bacteroides_coprocola + Bacteroides_coprophilus,0.028653349310857786
Bacteroides_intestinalis + Bacteroides_massiliensis,0.028298325187256078
Ruminococcus_sp. + Ruminococcus_torques,0.028174868755251537
Klebsiella_sp. + Klebsiella_variicola,0.02811982609768879
Eubacterium_siraeum + Eubacterium_sp.,0.02768422196975894
Cronobacter_turicensis + Cronobacter_universalis,0.027608262053393406
Campylobacter_hominis + Campylobacter_jejuni,0.02760388207947177
Facklamia_languida + Faecalibacterium_prausnitzii,0.027176819497338495
Castellaniella_sp. + Catenibacterium_mitsuokai,0.026116093016461065
Enterobacter_oryzendophyticus + Enterobacter_pulveris,0.02595489459913755
Blautia_faecis + Blautia_glucerasea,0.025812901377567983
Raoultella_planticola + Rheinheimera_aquimaris,0.025619015887790243
Dialister_succinatiphilus + Dielma_fastidiosa,0.025303307840850487
Butyricimonas_virosa + Butyrivibrio_crossotus,0.025125513326057135
Ruminococcus_bromii + Ruminococcus_callidus,0.025078855681541737
Eubacterium_dolichum + Eubacterium_eligens,0.025046441560626787
Bacteroides_thetaiotaomicron + Bacteroides_uniformis,0.02447940986644364
Flavobacterium_segetis + Flavonifractor_plautii,0.024398015052533844
Actimicrobium_antarcticum + Actinobacillus_minor,0.02428825527126214
Ruminococcus_callidus + Ruminococcus_champanellensis,0.023913305002715154
Agromyces_italicus + Akkermansia_muciniphila,0.023897808242217898
Collinsella_aerofaciens + Collinsella_intestinalis,0.023840026065133607
Streptococcus_pseudoporcinus + Streptococcus_salivarius,0.023768754413080406
Butyrivibrio_crossotus + Butyrivibrio_fibrisolvens,0.023683258484211232
Oribacterium_sp. + Oscillibacter_sp.,0.023477075752448277
Blautia_torques + Blautia_wexlerae,0.0234277890141467
Aggregatibacter_aphrophilus + Aggregatibacter_segnis,0.023402543605827126
Selenomonas_artemidis + Selenomonas_bovis,0.02298911053040236
Klebsiella_oxytoca + Klebsiella_pneumoniae,0.022972499366558752
Gemella_sanguinis + Gemmiger_formicilis,0.02284695260096531
